,PlayerName,TeamName,Continent,Type,Match1,Match2,Match3,Match4,Match5,Match6,Match7,Match8,Match9,Match10,Match11,TotalRuns,MatchesPlayed,WicketsTaken,OversBowled,RunsConceded,Economy
119,Saqib Zulfiqar,Netherland,Europe,All-Rounder,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13,9,1,5.0,40.0,8.0
120,Shariz Ahmad,Netherland,Europe,All-Rounder,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6,9,0,2.0,13.0,6.5
121,Sybrand Engelbrecht,Netherland,Europe,Batter,0.0,29.0,19.0,70.0,11.0,35.0,58.0,33.0,45.0,0.0,0.0,300,9,0,0.0,0.0,0.0
122,Pat Cummins,Australia,Oceania,Bowler,15.0,22.0,0.0,6.0,12.0,37.0,10.0,12.0,0.0,14.0,0.0,128,11,15,89.3,515.0,5.77
123,Steve  Smith,Australia,Oceania,Batter,46.0,19.0,0.0,7.0,71.0,18.0,44.0,0.0,63.0,30.0,4.0,302,11,0,0.0,0.0,0.0
124,Alex Carey,Australia,Oceania,Batter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0
125,Josh Inglis,Australia,Oceania,Batter,0.0,5.0,58.0,13.0,14.0,38.0,3.0,0.0,0.0,28.0,0.0,159,11,0,0.0,0.0,0.0
126,Sean Abbot,Australia,Oceania,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2,10.0,61.0,6.1
127,Cameron Green,Australia,Oceania,All-Rounder,8.0,0.0,0.0,0.0,8.0,0.0,47.0,0.0,0.0,0.0,0.0,63,11,0,2.0,11.0,5.5
128,Josh Hazlewood,Australia,Oceania,Bowler,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,11,16,93.1,449.0,4.82
129,Travis Head,Australia,Oceania,Batter,0.0,0.0,0.0,0.0,0.0,109.0,11.0,0.0,10.0,62.0,137.0,329,11,2,21.0,101.0,4.81
130,Marnus Labuschagne,Australia,Oceania,Batter,27.0,46.0,40.0,8.0,62.0,18.0,71.0,14.0,0.0,18.0,58.0,362,11,0,0.0,0.0,0.0
131,Mitch Marsh,Australia,Oceania,Batter,0.0,7.0,52.0,121.0,9.0,36.0,0.0,24.0,177.0,0.0,15.0,441,11,2,13.0,96.0,7.38
132,Glenn Maxwell,Australia,Oceania,All-Rounder,15.0,3.0,31.0,0.0,106.0,41.0,0.0,201.0,0.0,1.0,2.0,400,11,6,68.3,330.0,4.83
133,Marcus Stonis,Australia,Oceania,All-Rounder,0.0,5.0,20.0,21.0,0.0,0.0,35.0,6.0,0.0,0.0,0.0,87,11,4,19.0,143.0,7.53
134,David Warner,Australia,Oceania,Batter,41.0,13.0,11.0,163.0,104.0,81.0,15.0,18.0,53.0,29.0,7.0,535,11,0,0.0,0.0,0.0
135,Adam Zampa,Australia,Oceania,Bowler,6.0,11.0,0.0,1.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,48,11,23,96.0,515.0,5.36
136,Mitchell Starc,Australia,Oceania,Bowler,28.0,27.0,0.0,2.0,0.0,1.0,10.0,3.0,0.0,16.0,0.0,87,11,16,87.0,528.0,6.07
137,Kane Williamson,New Zealand,Oceania,Batter,0.0,0.0,78.0,0.0,0.0,0.0,0.0,95.0,14.0,69.0,0.0,256,10,0,0.0,0.0,0.0
138,Trent Boult,New Zealand,Oceania,Bowler,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,2.0,0.0,21,10,14,91.0,504.0,5.54
139,Mark Chapman,New Zealand,Oceania,Batter,0.0,5.0,0.0,25.0,6.0,0.0,0.0,39.0,7.0,2.0,0.0,84,10,0,0.0,0.0,0.0
140,Devon Conway,New Zealand,Oceania,Batter,152.0,32.0,45.0,20.0,0.0,28.0,2.0,35.0,45.0,13.0,0.0,372,10,0,0.0,0.0,0.0
141,Lockie Ferguson,New Zealand,Oceania,Bowler,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,7,10,10,54.0,301.0,5.57
142,Matt Henry,New Zealand,Oceania,Bowler,0.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,19,10,11,44.2,315.0,7.13
143,Tom Latham,New Zealand,Oceania,Batter,0.0,53.0,0.0,68.0,5.0,21.0,4.0,2.0,2.0,0.0,0.0,155,10,0,0.0,0.0,0.0
144,Daryl Mitchell,New Zealand,Oceania,Batter,0.0,48.0,89.0,1.0,130.0,54.0,24.0,29.0,43.0,134.0,0.0,552,10,0,1.3,12.0,9.23
145,Jimmy Neesham,New Zealand,Oceania,Bowler,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,58,10,2,14.3,157.0,10.98
146,Gleen Phillips,New Zealand,Oceania,All-Rounder,0.0,4.0,16.0,71.0,23.0,12.0,60.0,41.0,17.0,41.0,0.0,285,10,6,40.0,233.0,5.83
147,Rachin Ravindra,New Zealand,Oceania,All-Rounder,123.0,51.0,9.0,32.0,75.0,116.0,9.0,108.0,42.0,13.0,0.0,578,10,5,65.4,393.0,6.01
148,Mitch Santner,New Zealand,Oceania,All-Rounder,0.0,36.0,0.0,7.0,1.0,17.0,7.0,26.0,0.0,9.0,0.0,103,10,16,92.4,449.0,4.86
149,Ish Sodhi,New Zealand,Oceania,All-Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,4.0,44.0,11.0
150,Tim Southee,New Zealand,Oceania,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,16,10,7,33.0,256.0,7.76
151,Will Young,New Zealand,Oceania,Batter,0.0,70.0,0.0,54.0,17.0,32.0,33.0,0.0,0.0,0.0,0.0,206,10,0,0.0,0.0,0.0
